title,price_monthly,bedrooms,sqft,unit_type_clean,location_clean,market_area,description,extreme_low_price_flag,scraped_at,url
"53 ST QUENTIN AVENUE Toronto (Cliffcrest), Ontario",1550,2.0,,Basement,"Cliffcrest, Toronto (Cliffcrest)•",Toronto,"Enjoy the Nicely fenced Oasis Backyard (Rare find with basement apartment). Fabulous Opportunity to Live in a Renovated 2 Bedroom Apartment South of Kingston, Steps Away from the Bluffs, Plazas. Two ...",0,2026-02-11 22:13:51.785596,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/53-st-quentin-avenue-toronto-cliffcrest-ontario/1733012088
20 St. Patrick St - 3 Bedroom Apartment,3700,3.0,,Apartment,"Kensington-Chinatown, City of Toronto•",Toronto,"This unit has a truly spectacular view with two levels. Large balconies with stunning views of the Toronto skyline, newly constructed. Perfect for entertaining. All new stainless steel appliances ...",0,2026-02-11 22:14:04.301438,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/20-st-patrick-st-3-bedroom-apartment/1722684409
"333 - 68 ABELL STREET Toronto (Little Portugal), Ontario",1900,1.0,,,"Little Portugal, Toronto (Little Portugal)•",Toronto,"Now is Your Chance to Experience Queen St Living in The City's Trendiest Neighborhood. Your Close to Liberty Village/Trinity Bellwoods/Ossington area. Surrounded By The Top Restaurants, Grocery ...",0,2026-02-11 22:14:02.633816,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/333-68-abell-street-toronto-little-portugal-ontario/1732876796
"2215 - 95 MCMAHON DRIVE Toronto (Bayview Village), Ontario",2450,1.0,,,Toronto (Bayview Village)•,Toronto,"One Bedroom At Seasons By Concord Adex. Luxurious Finishes Featuring Top Of The Line Built-In Miele Appliances, Quartz Counters, Carrara Marble Backsplash, 9' Ceilings & Soft-Close Cabinets. Bathroom ...",0,2026-02-11 22:14:03.658153,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2215-95-mcmahon-drive-toronto-bayview-village-ontario/1732877854
Room for rent,850,0.0,500,Apartment,"Pelmo Park-Humberlea, City of Toronto•",Toronto,"Room for rent $850 Shared kitchen and bathroom Utilities included Male tenant preferred Major intersection Weston/Sheppard, close to the Public library, Dollar tree, Tim hortons, 24 hour grocery etc. ...",0,2026-02-11 22:13:53.177284,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/room-for-rent/1732999464
"760 Sheppard Ave West, Unit 309 - 1 Bed + Den Condo for Rent",2395,1.5,610,Condo,"Bathurst Manor, Toronto•",Toronto,"Long & Short - Term Unfurnished or Furnished Rental (Furnished extra) Available from March 22nd. Available for long-term lease: a bright and modern 1-bedroom plus den condo, ready for you to move in ...",0,2026-02-11 22:13:50.920612,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/760-sheppard-ave-west-unit-309-1-bed-den-condo-for-rent/1733023101
Studio Apartment for Rent - 100 Gloucester St,1645,0.0,438,Apartment,Toronto•,Toronto,"Gloucester Apartments are close to it all! Located at Gloucester Street and Jarvis Street, these apartments are in the Church-Yonge Corridor neighborhood in Toronto. Nearby parks include Cawthra ...",0,2026-02-11 22:13:54.945396,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/studio-apartment-for-rent-100-gloucester-st/1732022153
Brand new one-bedroom for lease,2100,1.0,525,Condo,"Davisville, City of Toronto•",Toronto,"Luxury one-bedroom for lease at Bayview and Eglinton Ave. Close to Leaside LRT station Include Wi-Fi No parking, No utilities Available anytime",0,2026-02-11 22:13:52.698603,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-one-bedroom-for-lease/1733009870
"BSMT - 39 ARBAND AVENUE Vaughan (Patterson), Ontario",1750,1.0,,Basement,Markham / York Region•,Toronto,"Amazing 1 Bed + Den & 1 Bath Basement Apartment in Prime Patterson Area. Quiet Family Home Looking for AAA Tenant. Amazing Layout, Spacious Space, Laminate throughout, Pot lights, Upgraded Kitchen ...",0,2026-02-11 22:13:53.284165,https://www.kijiji.ca/v-apartments-condos/markham-york-region/bsmt-39-arband-avenue-vaughan-patterson-ontario/1730321710
4979 Bathurst - 2 Bedroom Apartment for Rent,2326,2.0,799,Apartment,Toronto•,Toronto,Love Where You Live | Enjoy One Month FREE on a 13-Month Lease!* (Select Suites Only) OPEN HOUSE | February 4 from 5:00 pm to 7:00 pm & February 21 from 12:00 pm to 2:00 pm Attractively landscaped ...,0,2026-02-11 22:13:55.785615,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/4979-bathurst-2-bedroom-apartment-for-rent/1730570226
3 Bedroom Apartment for Rent - 295 Dufferin Street,2999,3.0,771,Apartment,Toronto•,Toronto,"295 Dufferin Street is conveniently located minutes away from Liberty Village in Toronto, with hundreds of stores and restaurants right at your doorstep, Dufferin Crossing is the building to be in. ...",0,2026-02-11 22:13:54.595671,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-apartment-for-rent-295-dufferin-street/1729754310
"TH1 - 15 CUMMINGS STREET Toronto (South Riverdale), Ontario",4400,2.0,,Townhouse,City of Toronto•,Toronto,"Professionally Managed 2 Bed, 2 Bath Townhouse In The Heart Of South Riverdale / Leslieville! Thoughtfully Designed Open-Concept Main Level Enhanced By Sleek, Contemporary Finishes, Featuring A ...",0,2026-02-11 22:13:57.471791,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/th1-15-cummings-street-toronto-south-riverdale-ontario/1730273871
"1 Bed, 1 Bath Condo  (Liberty Village - Zen King West)",2300,1.0,500,Condo,"South Parkdale, Toronto•",Toronto,"Amazing Condo Located At The Intersection Of Trendy Liberty Village & Vibrant King West! Modern European Kitchen Design W/ Integrated Appliances. 5 Star Planned Amenities Incl: Concierge, Spa W/ ...",0,2026-02-11 22:14:02.222135,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-1-bath-condo-liberty-village-zen-king-west/1732893185
La Salle Towers - 1 Bedroom Apartment for Rent,1900,1.0,640,Apartment,Toronto•,Toronto,For a limited time - sign a new lease with 1/2 month free rent in the 6th and 12th month! Terms and conditions apply; please speak to your resident manager for the latest updates!Set in Downtown ...,0,2026-02-11 22:13:49.874974,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/la-salle-towers-1-bedroom-apartment-for-rent/1723259305
"UPPER - 30 DITTMER CRESCENT Toronto (West Humber-Clairville), On",3150,3.0,,House,"West Humber-Clairville, City of Toronto•",Toronto,"Beautiful Fully Updated Detached Bungalow Upper Level Only At Most Wanted Location. Large Living Room, Eat In Kitchen, Main Floor Private Laundry. Admirable Home Near School, Park, Plaza, Ttc. Humber ...",0,2026-02-11 22:13:57.754351,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/upper-30-dittmer-crescent-toronto-west-humber-clairville-on/1731573450
2 Bedroom Apartment for Rent - 75 Thorncliffe Park Dr,2833,2.0,1004,Apartment,East York•,Toronto,"Welcome to Champlain Towers at 75 Thorncliffe Park Drive — an exceptional high-rise community ideally located near the intersection of Overlea Boulevard and Thorncliffe Park Drive, in the vibrant ...",0,2026-02-11 22:13:54.293587,https://www.kijiji.ca/v-apartments-condos/markham-york-region/2-bedroom-apartment-for-rent-75-thorncliffe-park-dr/1730462603
"4305 - 950 PORTAGE PARKWAY Vaughan (Vaughan Corporate Centre), O",2100,2.0,,,"Vaughan Corporate Business Centre, Markham / York Region•",Toronto,"Transit City 3 East Tower In A Prime Location In Vaughan Metropolitan Centre. Spacious East Facing 2 Bedroom Unit (665 Sq.ft. + Balcony ) With Unobstructed View. Floor To Ceiling Windows, Laminate ...",0,2026-02-11 22:13:58.214709,https://www.kijiji.ca/v-apartments-condos/markham-york-region/4305-950-portage-parkway-vaughan-vaughan-corporate-centre-o/1731571693
East York 1 Bedroom Apartment for Rent - 1501 Woodbine Avenue,1849,1.0,765,Apartment,East York•,Toronto,"Virtual Open House: View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Call to view units: (437) 218 5969 Enjoy the luxury of an ...",0,2026-02-11 22:13:49.481573,https://www.kijiji.ca/v-apartments-condos/markham-york-region/east-york-1-bedroom-apartment-for-rent-1501-woodbine-avenue/1708203697
"46 CANMORE BOULEVARD Toronto (Highland Creek), Ontario",3600,4.0,,,"Highland Creek, Markham / York Region•",Toronto,Renovated 4-Bedroom Home with 3 washrooms! Welcome to this beautifully updated home in the highly sought-after Highland Creek community. Featuring 4 spacious bedrooms and a office room and formal ...,0,2026-02-11 22:14:04.422337,https://www.kijiji.ca/v-apartments-condos/markham-york-region/46-canmore-boulevard-toronto-highland-creek-ontario/1731474765
House with 3 Bedroom 3 Parkings Upper Floor for Rent Etobicoke,2600,3.0,1400,House,"Rexdale, Toronto•",Toronto,"Available from March 1 or before $2600 plus 70% utilities Car Parkings Available Nearest Postal code is M9W 4C3 Walking distance to TTC Bus stop, lots of restaurants and groceries. Near to Humber ...",0,2026-02-11 22:14:02.455965,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/house-with-3-bedroom-3-parkings-upper-floor-for-rent-etobicoke/1732883564
"108 - 500 GILBERT AVENUE Toronto (Caledonia-Fairbank), Ontario",1895,1.0,,,"Caledonia-Fairbank, City of Toronto•",Toronto,"Bright and spacious, fully renovated (2024) 1-bedroom unit located at Eglinton Ave W & Caledonia Rd. This unit features parquet floors throughout, open concept kitchen with stainless steel appliances ...",0,2026-02-11 22:13:57.48955,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/108-500-gilbert-avenue-toronto-caledonia-fairbank-ontario/1731573974
"3306 - 1 YORKVILLE AVENUE Toronto (Annex), Ontario",2350,1.0,,,"Yorkville, Toronto (Annex)•",Toronto,"Welcome to luxury living at its finest in the heart of Toronto's vibrant Yorkville neighborhood! Minutes from designer boutiques, unlimited dining options, Bloor and Yonge subway lines and ...",0,2026-02-11 22:14:03.406324,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3306-1-yorkville-avenue-toronto-annex-ontario/1732877845
Scarborough 3 Bedroom Apartment for Rent - 2700 and 2702 Lawrenc,2649,3.0,750,Apartment,Scarborough•,Toronto,"Virtual Open House: Please take a virtual tour of our available units now, or request a video tour. Promotions: ALL UTILITIES INCLUDED! Community living! 2700 and 2702 Lawrence Ave, E. at Lawrence ...",0,2026-02-11 22:13:54.685103,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/scarborough-3-bedroom-apartment-for-rent-2700-and-2702-lawrenc/1727493908
"Two Bedroom Apartment - 2B Layout- (Price-$2,225 & up)",2225,2.0,985,Apartment,City of Toronto•,Toronto,"2B Layout - (150) Available Come and experience the unique atmosphere and community feeling of residing in one of Graydon Hall Apartments. This spacious apartment has three appliances (dishwasher, ...",0,2026-02-11 22:13:58.354127,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/two-bedroom-apartment-2b-layout-price-2-225-up/1505827515
"A - 13086 KEELE STREET King (King City), Ontario",2600,2.0,,Apartment,Markham / York Region•,Toronto,"This beautiful upper level apartment offers plenty of sunshine, 2 bedrooms, large kitchen, open concept floor plan. 1 outdoor parking spot on private driveway. Within steps to transit, shopping, ...",0,2026-02-11 22:13:48.645197,https://www.kijiji.ca/v-apartments-condos/markham-york-region/a-13086-keele-street-king-king-city-ontario/1722903161
1 Bedroom Apartment for rent,1895,1.0,700,Apartment,"Rockcliffe-Smythe, Toronto•",Toronto,"Bright and spacious studio unit for rent. Located near Stockyards shopping complex, schools and Public transit within walking distance with multiple golf course within the area. Call our office at ...",0,2026-02-11 22:13:58.370158,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent/1732953870
3030 Pharmacy Avenue - Everworth  - 3 Bedroom Apartment for Rent,3299,3.0,1100,Apartment,Scarborough•,Toronto,"Located in the convenient L’Amoreaux west neighborhood of Scarborough, 3030 Pharmacy Avenue offers residents a peaceful residential setting with excellent access to transit, shopping, parks, and ...",0,2026-02-11 22:13:50.749734,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3030-pharmacy-avenue-everworth-3-bedroom-apartment-for-rent/1732758996
"LPH25 - 1030 KING STREET W Toronto (Niagara), Ontario",3000,2.0,,,"Niagara, Toronto (Niagara)•",Toronto,Stunning Multi-Level Loft In The Heart Of King West! This Bright And Spacious Suite Features A Rare And Unique Open-Concept Layout With Abundant Stunning Multi-Level Loft In The Heart Of King West! ...,0,2026-02-11 22:13:56.753476,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/lph25-1030-king-street-w-toronto-niagara-ontario/1732965221
1 bed 1 bath condo for rent May 1st,2000,1.0,560,Condo,"St. Andrew, Toronto•",Toronto,"Bright and spacious 1 bedroom, 1 bathroom unit in a prime North York location! Features of this unit include floor-to-ceiling windows, 9-ft ceilings, hardwood flooring throughout, and a large ...",0,2026-02-11 22:13:55.821912,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-1-bath-condo-for-rent-may-1st/1732982347
"1410 - 78 TECUMSETH STREET Toronto (Niagara), Ontario",2500,1.0,,,"Niagara, Toronto (Niagara)•",Toronto,Luxury furnishings (Urban Barn and CB2) the perfect spot for a young professional in Toronto. Fantastic spot for summer sunsets and nightly entertainment just meters for the Entertainment district. ...,0,2026-02-11 22:14:02.961467,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1410-78-tecumseth-street-toronto-niagara-ontario/1732877136
"2805 - 36 ZORRA STREET Toronto (Islington-City Centre West), Ont",2600,2.0,,,City of Toronto•,Toronto,"Experience modern living at its finest at 36 Zorra. This Stylish suite sits in the center of South Etobicoke surrounded by energy, convenience and community! Enjoy oversized floor to ceiling windows, ...",0,2026-02-11 22:14:00.742736,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2805-36-zorra-street-toronto-islington-city-centre-west-ont/1730225735
Spacious 3-Bed + AC/Laundry/Parking/Yard Access Incl! (Boem Ave),2600,3.0,1000,House,"Wexford-Maryvale, Toronto•",Toronto,"Spacious 3-Bed + AC/Laundry/Parking/Yard Access Included! (Boem Ave, Toronto) Convenient access to a wide variety of restaurants, groceries, parklands, shopping, educational institutions, and ...",0,2026-02-11 22:13:56.050335,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-3-bed-ac-laundry-parking-yard-access-incl-boem-ave/1732976897
"3 bedroom apartment, main floor, BRADFORD",2550,3.0,950,House,"Bradford West Gwillimbury, Markham / York Region•",Toronto,"3 bedroom, 1 bath main floor apartment move-in ready in family-friendly neighborhood located 5 mins from GO train, close to schools, parks, recreation, 10 minutes to 400 HWy and 10 minutes to ...",0,2026-02-11 22:13:52.779623,https://www.kijiji.ca/v-apartments-condos/markham-york-region/3-bedroom-apartment-main-floor-bradford/1733006595
1 Bedroom Basement Apartment Roncesvalles/Dundas,1700,1.0,500,Apartment,"Roncesvalles, Toronto•",Toronto,"I am a Realtor, I help tenants and Landlords, for more information: Eddy@Royallepage.ca 2132 Dundas St W Lower, Toronto For Lease $1,700 Welcome to a newly renovated 1 bedroom basement apartment in ...",0,2026-02-11 22:13:58.600245,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-basement-apartment-roncesvalles-dundas/1732946055
Parkdale 1 Bedroom Apartment for Rent - 96 Jameson Avenue,1999,1.0,721,Apartment,Toronto•,Toronto,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. Call now: (437) 886-5105Virtual Open House: View our units by ...",0,2026-02-11 22:13:51.150279,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/parkdale-1-bedroom-apartment-for-rent-96-jameson-avenue/1730249991
"MAIN - 1340 WARDEN AVENUE Toronto (Wexford-Maryvale), Ontario",2450,3.0,,,"Wexford-Maryvale, City of Toronto•",Toronto,"Beautifully renovated and spacious 3-bedroom main floor offering flexible lease terms, including month-to-month options. Features a modern kitchen with stainless steel appliances, quartz countertops, ...",0,2026-02-11 22:13:58.025702,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/main-1340-warden-avenue-toronto-wexford-maryvale-ontario/1731572495
"5373 AURORA ROAD Whitchurch-Stouffville (Ballantrae), Ontario",3500,4.0,,,"Whitchurch-Stouffville, Whitchurch-Stouffville (Ballantrae)•",York,"Beautifully maintained bungalow situated on a rare and spacious approximately 1.5-acre lot (101' x 619'), surrounded by prestigious multi-million-dollar homes. This well-appointed residence offers 4 ...",0,2026-02-11 22:14:03.498126,https://www.kijiji.ca/v-apartments-condos/markham-york-region/5373-aurora-road-whitchurch-stouffville-ballantrae-ontario/1732875666
2 bedroom basement apt utilities included,1500,2.0,760,Basement,"Middlefield, Markham•",York,"JSK Well-maintained 2-bedroom basement apartment ideal for a single professional or couple. Located in the desirable Middlefield area, this unit features a private separate entrance, flat ceilings ...",0,2026-02-11 22:13:51.431591,https://www.kijiji.ca/v-apartments-condos/markham-york-region/2-bedroom-basement-apt-utilities-included/1733015012
"4503 - 950 PORTAGE PARKWAY Vaughan (Vaughan Corporate Centre), O",2350,2.0,,,Vaughan (Vaughan Corporate Centre)•,York,"Location Location Location highly Efficient 2 Bed 2 Bath Unit, Ideally Located On The 45th Floor AtThe Sought-After Transit City Condos 3. This Home Features A Well-Organized Layout, Spacious, And ...",0,2026-02-11 22:13:59.853575,https://www.kijiji.ca/v-apartments-condos/markham-york-region/4503-950-portage-parkway-vaughan-vaughan-corporate-centre-o/1732920579
"287 BANTRY AVENUE Richmond Hill (Langstaff), Ontario",3500,4.0,,Townhouse,"Langstaff, Richmond Hill (Langstaff)•",York,"Gorgeous Bright End Unit Freehold Townhouse Like A Semi-detached with 2 Car Garage. Located In Prime Location In Richmond Hill. 3+1 Beds W/4 Baths, Spacious Open Concept Layout, Hardwood Floor On ...",0,2026-02-11 22:14:02.8193,https://www.kijiji.ca/v-apartments-condos/markham-york-region/287-bantry-avenue-richmond-hill-langstaff-ontario/1732876633
"4200 S F, only 3-year-old, very good condition from Feb 1",6000,4.5,4200,House,"Vellore Village, Vaughan•",York,"4200 S F, only 3-year-old, very good condition from Feb 1 at Teston and Pine vally",0,2026-02-11 22:13:51.004136,https://www.kijiji.ca/v-apartments-condos/markham-york-region/4200-s-f-only-3-year-old-very-good-condition-from-feb-1/1732297311
"15682 HIGHWAY 48 Whitchurch-Stouffville, Ontario",6500,5.0,,,"Whitchurch-Stouffville, Whitchurch-Stouffville•",York,"Welcome to 15682 Highway 48, where luxury meets tranquility. located in the prestigious community of Ballantrae, an exceptional executive lease offering approximately 6,000 square feet of refined ...",0,2026-02-11 22:13:59.778108,https://www.kijiji.ca/v-apartments-condos/markham-york-region/15682-highway-48-whitchurch-stouffville-ontario/1732919949
"BSMT - 156 TRAYBORN DRIVE Richmond Hill (Mill Pond), Ontario",1600,1.0,,Basement,"Mill Pond, Richmond Hill (Mill Pond)•",York,"Move-in Now! 1 Bedroom With 2 Parking! Located In Prestigious Mill Pond! Corner Lot Neighbouring Low-Traffic Court! 2 Driveway Parking With No Sidewalk! Open Concept Living Room, Kitchen With ...",0,2026-02-11 22:13:52.605342,https://www.kijiji.ca/v-apartments-condos/markham-york-region/bsmt-156-trayborn-drive-richmond-hill-mill-pond-ontario/1733010140
"5206 - 8 INTERCHANGE WAY Vaughan (Vaughan Corporate Centre), Ont",2250,2.0,,,"Vaughan Corporate Business Centre, Vaughan (Vaughan Corporate Centre)•",York,"Festival Tower C - Brand New Building (going through final construction stages) 628 sq feet - 1 Bedroom plus Den ( Den has a window and may be used as a 2nd Bedroom) & 2 bathroom, Corner Unit with ...",0,2026-02-11 22:13:52.152573,https://www.kijiji.ca/v-apartments-condos/markham-york-region/5206-8-interchange-way-vaughan-vaughan-corporate-centre-ont/1733010300
2BED-CONDO APARTMENT FOR RENT- VAUGHAN,2400,2.0,780,Condo,"Maple, Vaughan•",York,"NEAR VAUGHAN CORTELLUCI HOSPITAL, NEAR CANADA'S WONDERLAND, near hwy's , vaughan mills close by, 2 bed , 2 wr, 1 parking , 1 locker heat/ac/water included . UNIT IS VACANT NOW......PICTURES WERE WHEN ...",0,2026-02-11 22:13:48.302272,https://www.kijiji.ca/v-apartments-condos/markham-york-region/2bed-condo-apartment-for-rent-vaughan/1732629699
Walkout basement in Richmond Hill,1600,0.0,800,Basement,"Rouge Woods, Richmond Hill•",York,"Walk out basement back to Ravin in Richmond Hill ( leslie & Elgin mills) Walking distance to Hwy 404, Costco, Home Depots, Richmond Green Park and etc First and last payments, 2 references, 2 last ...",0,2026-02-11 22:13:55.01319,https://www.kijiji.ca/v-apartments-condos/markham-york-region/walkout-basement-in-richmond-hill/1732993425
"#1BEDBSMNT - 52 NISBET DRIVE Aurora (Aurora Highlands), Ontario",1500,1.0,,Basement,"Aurora, Aurora (Aurora Highlands)•",York,"Newly renovated, never-lived-in basement unit in a beautifully maintained detached bungalow located in the highly sought-after Aurora Highlands neighbourhood. Features 1 spacious bedroom, 1 modern ...",0,2026-02-11 22:14:00.103043,https://www.kijiji.ca/v-apartments-condos/markham-york-region/1bedbsmnt-52-nisbet-drive-aurora-aurora-highlands-ontario/1732920156
"Bright, Large Bachelor in Heart of Stouffville",1800,0.0,,Apartment,"Whitchurch-Stouffville, Whitchurch-Stouffville•",York,"Step into this beautifully renovated, spacious ground-floor bachelor apartment in a charming restored Victorian century home. With a private entrance, high ceilings, and large bright windows, this ...",0,2026-02-11 22:13:55.968333,https://www.kijiji.ca/v-apartments-condos/markham-york-region/bright-large-bachelor-in-heart-of-stouffville/1732979073
TH118 - 30 ALMOND BLOSSOM MEWS S Vaughan (Vaughan Corporate Cent,3550,3.0,,Townhouse,"Vaughan Corporate Business Centre, Vaughan (Vaughan Corporate Centre)•",York,"This modern, corner unit condo townhouse by Menkes has 3 bedrooms, 3 bathrooms, and a private rooftop terrace, nestled in the heart of Vaughan. Functional design includes a spacious countertop and an ...",0,2026-02-11 22:13:51.735869,https://www.kijiji.ca/v-apartments-condos/markham-york-region/th118-30-almond-blossom-mews-s-vaughan-vaughan-corporate-cent/1733010464
"112 - 370 RED MAPLE ROAD Richmond Hill (Langstaff), Ontario",2850,2.0,,Townhouse,"Langstaff, Richmond Hill (Langstaff)•",York,Bright Brand New Modern Style 2 Bedroom & 3 Washroom Townhome In The Heart Of Richmond Hill. Two Ensuite. 1115 Sqft Of Functional & Open Layout. Upgraded With Contemporary and Neutral Finishes. Great ...,0,2026-02-11 22:14:00.212611,https://www.kijiji.ca/v-apartments-condos/markham-york-region/112-370-red-maple-road-richmond-hill-langstaff-ontario/1732920558
"327 - 8888 YONGE STREET Richmond Hill (South Richvale), Ontario",2000,1.0,,,"South Richvale, Richmond Hill (South Richvale)•",York,"1 Year New 1 Bedroom Unit With High Ceilings & Built-In Stainless Steel Appliances. Conveniently Located Near Yonge Street & Highway 7. Close To Langstaff GO station & Steps From Public Transit, ...",0,2026-02-11 22:14:00.002478,https://www.kijiji.ca/v-apartments-condos/markham-york-region/327-8888-yonge-street-richmond-hill-south-richvale-ontario/1732920889
MODERN 2 BED + 2 BATH CONDO | STEPS TO VMC | LUXURY AMENITIES,2895,2.0,699,Apartment,"Vaughan Corporate Business Centre, Vaughan•",York,"Live in the heart of Vaughan’s most sought-after community! This stunning 2-bedroom, 2-bathroom condo is located in a nearly new, beautifully designed building, just steps to Vaughan Metropolitan ...",0,2026-02-11 22:13:49.96931,https://www.kijiji.ca/v-apartments-condos/markham-york-region/modern-2-bed-2-bath-condo-steps-to-vmc-luxury-amenities/1732615385
3 bedroom/2 bathroom Basement - Richmond Hill,2300,3.0,1000,Basement,"Crosby, Richmond Hill•",York,"Basement for Rent - Location: Bayview and Elgin mills - Price: $2300 - Availability: March 15, 2026 - 3 bedrooms & 2 bathrooms - Utilities not included (% depends on how many people) - parking space ...",0,2026-02-11 22:14:04.016274,https://www.kijiji.ca/v-apartments-condos/markham-york-region/3-bedroom-2-bathroom-basement-richmond-hill/1732872662
"101E - 278 BUCHANAN DRIVE Markham (Unionville), Ontario",2250,1.0,,Condo,"Unionville, Markham (Unionville)•",York,"Unionville Luxury Condo, Spectacular 10' Smooth Ceiling, 1 Br West Facing Layout W/O To Terrace, Perfect Lay-Out, Modern Open Kitchen. Laminate Through Out, Mins Walk To Unionville H.S., Too Good ...",0,2026-02-11 22:14:02.835534,https://www.kijiji.ca/v-apartments-condos/markham-york-region/101e-278-buchanan-drive-markham-unionville-ontario/1732876214
FOR LEASE: 1-BED 1 BATH SUITE AT THE MILLWAY AVAILABLE,2425,1.0,6,Apartment,"Vaughan Corporate Business Centre, Vaughan•",York,"Welcome to this sleek and modern 1 bedroom, 1 bathroom condo in a beautiful 3-year-old building located in the heart of Vaughan. Just steps to the Vaughan Metropolitan Centre (VMC) and minutes to ...",0,2026-02-11 22:13:51.527022,https://www.kijiji.ca/v-apartments-condos/markham-york-region/for-lease:-1-bed-1-bath-suite-at-the-millway-available/1732610181
"107 - 7340 MARKHAM ROAD Markham (Middlefield), Ontario",2699,2.0,,Condo,"Middlefield, Markham (Middlefield)•",York,"Expansive and inviting, this 1,195 sq. ft. ground-level suite blends functionality with comfort in a well-managed Markham condo community. The thoughtfully designed floor plan features a grand ...",0,2026-02-11 22:13:52.155659,https://www.kijiji.ca/v-apartments-condos/markham-york-region/107-7340-markham-road-markham-middlefield-ontario/1733010269
"MAIN - 156 TRAYBORN DRIVE Richmond Hill (Mill Pond), Ontario",3000,3.0,,House,"Mill Pond, Richmond Hill (Mill Pond)•",York,Move-in Now! Located In Prestigious Mill Pond! Detached With 3 Bedrooms! Corner Lot Neighbouring Low-Traffic Court! Exclusive Backyard Use! Garage Storage + 2 Parking With No Sidewalk! Open Concept ...,0,2026-02-11 22:13:51.906738,https://www.kijiji.ca/v-apartments-condos/markham-york-region/main-156-trayborn-drive-richmond-hill-mill-pond-ontario/1733010139
"BSMT - 75 BULMER CRESCENT Newmarket (Woodland Hill), Ontario",2500,2.0,,Basement,"Newmarket, Newmarket (Woodland Hill)•",York,"This beautiful renovated ALL-INCLUSIVE finished 2-bedroom basement apartment offers a modern and comfortable living space, ideal for professionals or a couple. The unit features hardwood flooring ...",0,2026-02-11 22:13:56.471631,https://www.kijiji.ca/v-apartments-condos/markham-york-region/bsmt-75-bulmer-crescent-newmarket-woodland-hill-ontario/1732965113
"215 - 320 JOHN STREET Markham (Aileen-Willowbrook), Ontario",2800,3.0,,Townhouse,"Aileen-Willowbrook, Markham (Aileen-Willowbrook)•",York,Bright & Spacious 2+1 Condo Townhome With 2 Parking Spots In Prime Thornhill Community; 1185 Sq Ft Plus 370 Sq Ft Private Roof Terrace; One Of The Largest 2 Bdrm Units In The Complex; An ...,0,2026-02-11 22:13:56.767098,https://www.kijiji.ca/v-apartments-condos/markham-york-region/215-320-john-street-markham-aileen-willowbrook-ontario/1732964864
"1205 - 12 GANDHI LANE Markham (Commerce Valley), Ontario",2450,2.0,,Apartment,"Commerce Valley, Markham (Commerce Valley)•",York,"The new Pavilia Towers, located at Hwy 7 and Bayview Ave. This functional layout 1 living room, 1 bedroom plus den apartment offers a comfortable and convenient life in the new dynamic commerce and ...",0,2026-02-11 22:13:59.753526,https://www.kijiji.ca/v-apartments-condos/markham-york-region/1205-12-gandhi-lane-markham-commerce-valley-ontario/1732920180
Two Bed rooms Unit for Rent,1850,2.0,1000,Basement,"Newmarket, Newmarket•",York,"Freshly painted two bedrooms apartment in a legal basement near Yonge and Mulock. It is in a quiet neighborhood near grocery stores, school and bus stop. It has a large kitchen with a bright living ...",0,2026-02-11 22:13:56.275781,https://www.kijiji.ca/v-apartments-condos/markham-york-region/two-bed-rooms-unit-for-rent/1732970684
